,price,temps,title
80,600 €,"Hier, 10:27","ThinkPad X250 neuf tout équipé, garantie 05/2019"
81,160 €,"Hier, 10:07",PC portable Lenovo ThinkPad L412
82,15 €,"Hier, 09:34",Sacoche Ordinateur IBM NEUVE
83,380 €,"21 avr, 21:42",Ordinateur Lenovo ThinkPad X1 Carbon
84,5 €,"21 avr, 19:14",Capuchon IBM thinkpad p/n 91p8421 : NEUF
85,169 €,"21 avr, 18:53",PC PORTABLE LENOVO L520 i3 4 GO RAM 320 GO HDD
87,20 €,"21 avr, 18:33",Adaptateurs RJ45 et VGA pour Lenovo Thinkpad
88,829 €,"21 avr, 17:48","Lenovo ThinkPad E480 14"" i5 8 Go 256Go SSD NEUF"
89,895 €,"21 avr, 17:48",Lenovo ThinkPad E580 15.6 i5 8Go 256Go SSD NEUF
90,220 €,"21 avr, 17:36",Lenovo ThinkPad T440p - 300Go
91,180 €,"21 avr, 16:29",Lenovo x240
92,130 €,"21 avr, 16:15",Lenovo x240 (Core i5 2.3 GHz / 8 Go / 500 Go)
94,500 €,"21 avr, 13:58",LENOVO ThinkPad T480s 256 Go SSD 8 Go RAM
95,200 €,"21 avr, 13:57",LENOVO ThinkPad T430 240 Go SSD 8Go RAM
96,270 €,"21 avr, 12:30",Lenovo Thinkpad x260 i5
97,600 €,"21 avr, 12:22",Lenovo Thinkpad L570 Core I5-6300 valeur 1200 euro
99,250 €,"21 avr, 12:11",Lenovo ThinkPad x260 6-gen Ideal Parfait
100,180 €,"21 avr, 08:34","LENOVO ThinkPad T430 320Go HDD,8Go RAM"
101,450 €,"21 avr, 07:46",thinkpad lenovo t470 i5 @ 7eme gen
102,300 €,"20 avr, 20:57",PC Portable Lenovo E560 + ThinkPad Pro dock
103,180 €,"20 avr, 17:51",LENOVO PRO VPRO3 Garanti 2 ans état neuf
104,350 €,"20 avr, 17:21","Lenovo Thinkpad T440p 8GB RAM, SSD 64Go+500Go , i5"
106,1 000 €,"20 avr, 17:20",ThinkPad X280 core i7 quadricore 512Go SSD Full HD
107,850 €,"20 avr, 17:18","ThinkPad X270 core i7/8G/512 SSD/12,5"" full HD"
108,250 €,"20 avr, 16:51",Laptop Lenovo
109,80 €,"20 avr, 16:33",Station d'accueil ThinkPad PRO DOCK 90W ULTRA
111,50 €,"20 avr, 16:28",Station d'accueil Lenovo thinkpad pro dock 90w
112,280 €,"20 avr, 13:51",lenovo x270 8go 256gb neuf
113,200 €,"20 avr, 13:14",Lenovo / 8go RAM / i5 / SSD
114,290 €,"20 avr, 11:55",14 pouce - 12go RAM - i5 - SSD
115,90 €,"20 avr, 11:52",ThinkPad THUNDERBOLT 3 Dock gen 2
116,500 €,"20 avr, 10:53",Ordinateur portable Lenovo Thinkpad X1 Carbon
118,90 €,"20 avr, 10:50",Lenovo thinkpad x200 bon etat
119,350 €,"20 avr, 10:23",LENOVO ThinkPad X240 8GB i5-4300U SSD 120 +HDD 500
120,8 €,"20 avr, 08:31",Adaptateur Mini-DisplayPort vers VGA Lenovo neuf
121,6 €,"20 avr, 08:30",Cable Antivol LENOVO Security Cable Lock
122,180 €,"20 avr, 00:45",x240 Lenovo thinkpad
123,110 €,"19 avr, 23:29",Kingston 8Go RAM PC Portable KTL-TP3C/8G (hr5)
124,320 €,"19 avr, 22:21",Lenovo ThinkPad T440p
125,10 €,"19 avr, 20:57",Station d'Accueil PC portable Lenovo ThinkPad
126,390 €,"19 avr, 19:26",Thinkpad X270 Lenovo i5 6300u | 256gb | Rétro
128,200 €,"19 avr, 18:27",Lenovo Thinkpad X250 excellent état i5 vPro SSD
129,500 €,"19 avr, 18:12",Tablette Hybride Lenovo ThinkPad X1 i5 8Go 256SSD
130,10 €,"19 avr, 17:57",Chargeur Secteur Ordinateur Portable Lenovo 45W
131,450 €,"19 avr, 16:52",Thinkpad X270 Lenovo i5 6300u | 256gb | Rétro |
132,200 €,"19 avr, 16:42","Lenovo Thinkpad T550 15"""
133,140 €,"19 avr, 15:45","LENOVO THINKPAD T420i 14"" Core i3-2350M 2.3 GHz"
135,599 €,"19 avr, 13:41",Lenovo W540 32 Go RAMS 1 To SSD Core i7 2.80 GHz
136,150 €,"19 avr, 11:58",Lenovo thinkpad l420 core i5
137,700 €,"19 avr, 11:41",pc portable lenovo P50 i7 6820HQ 16GO 256SSD
138,349 €,"19 avr, 11:09",Lenovo W530 - Core I7 - 8Go - 128Go SSD - Full HD
140,230 €,"19 avr, 11:06",Lenovo T530 - I5 - 4 Go Ram - 128 Go SSD
141,200 €,"19 avr, 11:03",Lenovo T430 - i5 - 8go - 500go DD + Sacoche
